Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.99,,2018-07-05 10:27:04,2018-07-05 10:31:45,4m - 41.284s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/Login/Invalid_Login,Chrome 67.0.3396.99,,2018-07-05 10:27:04,2018-07-05 10:27:25,21.195s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-05 10:27:05,2018-07-05 10:27:22,16.976s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:22,2018-07-05 10:27:22,0.137s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:27:22,2018-07-05 10:27:22,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:22,2018-07-05 10:27:22,0.150s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-05 10:27:22,2018-07-05 10:27:22,0.002s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:22,2018-07-05 10:27:23,0.597s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-05 10:27:23,2018-07-05 10:27:23,0.002s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:27:23,2018-07-05 10:27:23,0.107s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:23,2018-07-05 10:27:23,0.107s,PASSED
Statement - AHeaderTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_HeaderTxt)),Chrome 67.0.3396.99,,2018-07-05 10:27:23,2018-07-05 10:27:24,0.593s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:24,0.079s,PASSED
Statement - AContentTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_ContentTxt)),Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:24,0.065s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:24,0.046s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:24,0.102s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:24,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:24,0.071s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-05 10:27:24,2018-07-05 10:27:25,0.924s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/Login/Valid_Login,Chrome 67.0.3396.99,This Scenario logs into a user successfully and verifies the login,2018-07-05 10:27:25,2018-07-05 10:27:41,15.963s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-05 10:27:25,2018-07-05 10:27:39,13.139s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:39,0.052s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:39,0.121s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:39,0.111s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:39,0.002s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:39,0.590s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:39,0.001s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:27:39,2018-07-05 10:27:40,0.120s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:40,2018-07-05 10:27:40,0.103s,PASSED
waitForAngularLoad,Chrome 67.0.3396.99,,2018-07-05 10:27:40,2018-07-05 10:27:40,0.025s,PASSED
Statement - greetingtext = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Landing_Page/Greeting_Label)),Chrome 67.0.3396.99,,2018-07-05 10:27:40,2018-07-05 10:27:40,0.707s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-05 10:27:40,2018-07-05 10:27:40,0.017s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-05 10:27:40,2018-07-05 10:27:41,0.636s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/CreateUser/Create_User_Validate,Chrome 67.0.3396.99,Create User and validate,2018-07-05 10:27:41,2018-07-05 10:28:23,41.842s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-05 10:27:41,2018-07-05 10:27:54,12.370s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:54,2018-07-05 10:27:54,0.070s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:27:54,2018-07-05 10:27:54,0.165s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:54,2018-07-05 10:27:54,0.116s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-05 10:27:54,2018-07-05 10:27:55,0.580s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:27:55,2018-07-05 10:27:55,0.152s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:27:55,2018-07-05 10:27:55,0.098s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-05 10:27:55,2018-07-05 10:27:55,0.047s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 10:27:55,2018-07-05 10:28:00,5.010s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-05 10:28:00,2018-07-05 10:28:00,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:28:00,2018-07-05 10:28:00,0.177s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 10:28:00,2018-07-05 10:28:03,3.003s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-05 10:28:03,2018-07-05 10:28:03,0.065s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-05 10:28:03,2018-07-05 10:28:03,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:28:03,2018-07-05 10:28:03,0.100s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-05 10:28:03,2018-07-05 10:28:03,0.000s,PASSED
scrollToElement,Chrome 67.0.3396.99,,2018-07-05 10:28:03,2018-07-05 10:28:03,0.080s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:28:03,2018-07-05 10:28:04,0.073s,PASSED
"Statement - username = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 6)",Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.024s,PASSED
Statement - println(username),Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.003s,PASSED
Statement - uname = username.toString(),Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.001s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.124s,PASSED
"Statement - emailidprefix = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 9)",Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.002s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.305s,PASSED
"Statement - firstname = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 7)",Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.001s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.130s,PASSED
"Statement - lastname = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 7)",Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.001s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.131s,PASSED
"Statement - ticketnum = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""123456789"", 7)",Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.000s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:04,0.136s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 10:28:04,2018-07-05 10:28:05,0.104s,PASSED
