Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.62,,2018-07-17 12:57:18,2018-07-17 12:58:13,54.327s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/UserActions/Validate_User_Search,Chrome 67.0.3396.62,,2018-07-17 12:57:19,2018-07-17 12:58:12,53.187s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-17 12:57:19,2018-07-17 12:57:36,16.578s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-17 12:57:36,2018-07-17 12:57:36,0.122s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:36,2018-07-17 12:57:36,0.293s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:36,2018-07-17 12:57:36,0.163s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-17 12:57:36,2018-07-17 12:57:36,0.083s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:36,2018-07-17 12:57:37,0.300s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:37,2018-07-17 12:57:37,0.133s,PASSED
waitForPageLoad,Chrome 67.0.3396.62,,2018-07-17 12:57:37,2018-07-17 12:57:37,0.050s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-17 12:57:37,2018-07-17 12:57:42,5.009s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-17 12:57:42,2018-07-17 12:57:42,0.079s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:42,2018-07-17 12:57:42,0.294s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-17 12:57:42,2018-07-17 12:57:45,3.006s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-17 12:57:45,2018-07-17 12:57:45,0.068s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-17 12:57:45,2018-07-17 12:57:45,0.000s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:45,2018-07-17 12:57:45,0.114s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-17 12:57:45,2018-07-17 12:57:45,0.001s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-17 12:57:45,2018-07-17 12:57:45,0.066s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:45,2018-07-17 12:57:46,0.103s,PASSED
"Statement - username = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 6)",Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.021s,PASSED
Statement - uname = username.toString(),Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.001s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.190s,PASSED
"Statement - emailidprefix = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 9)",Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.002s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.454s,PASSED
"Statement - firstname = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 7)",Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.001s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.208s,PASSED
"Statement - lastname = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""abcdefghijklmnopqrstuvwxyz"", 7)",Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:46,0.002s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:46,2018-07-17 12:57:47,0.214s,PASSED
"Statement - ticketnum = CustomKeywords.commonLibrary.commonFunctions.randomStringFunction(""123456789"", 7)",Chrome 67.0.3396.62,,2018-07-17 12:57:47,2018-07-17 12:57:47,0.001s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-17 12:57:47,2018-07-17 12:57:47,0.201s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:47,2018-07-17 12:57:47,0.135s,PASSED
applicationLibrary.checkboxMultiselection.multiselectCheckbox,Chrome 67.0.3396.62,,2018-07-17 12:57:47,2018-07-17 12:57:54,7.347s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-17 12:57:54,2018-07-17 12:57:54,0.063s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:57:54,2018-07-17 12:57:58,3.345s,PASSED
applicationLibrary.checkboxMultiselection.multiselectCheckbox,Chrome 67.0.3396.62,,2018-07-17 12:57:58,2018-07-17 12:58:00,2.263s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:58:00,2018-07-17 12:58:00,0.187s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-17 12:58:00,2018-07-17 12:58:01,0.561s,PASSED
verifyElementText,Chrome 67.0.3396.62,,2018-07-17 12:58:01,2018-07-17 12:58:01,0.117s,PASSED
verifyElementText,Chrome 67.0.3396.62,,2018-07-17 12:58:01,2018-07-17 12:58:01,0.056s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-17 12:58:01,2018-07-17 12:58:06,5.002s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-17 12:58:06,2018-07-17 12:58:11,5.502s,PASSED
click,Chrome 67.0.3396.62,,2018-07-17 12:58:11,2018-07-17 12:58:12,0.438s,FAILED
