Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WorkBenchTestSuite,Chrome 67.0.3396.62,,2018-07-18 14:56:58,2018-07-18 15:02:14,5m - 16.343s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_CategoryMSPIncreaseAllocationQtyNotEditable,Chrome 67.0.3396.62,,2018-07-18 14:57:06,2018-07-18 14:57:43,36.821s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 14:57:06,2018-07-18 14:57:36,29.983s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 14:57:36,2018-07-18 14:57:36,0.160s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:57:36,2018-07-18 14:57:36,0.166s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 14:57:36,2018-07-18 14:57:37,0.206s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 14:57:37,2018-07-18 14:57:41,4.008s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-18 14:57:41,2018-07-18 14:57:41,0.101s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.62,,2018-07-18 14:57:41,2018-07-18 14:57:41,0.111s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 14:57:41,2018-07-18 14:57:43,1.925s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_ChannelMSPOutsideChannelQtyUpdateNotAllowed,Chrome 67.0.3396.62,,2018-07-18 14:57:43,2018-07-18 14:58:24,40.966s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 14:57:43,2018-07-18 14:58:07,24.229s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 14:58:07,2018-07-18 14:58:11,4.003s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 14:58:11,2018-07-18 14:58:11,0.071s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:58:11,2018-07-18 14:58:11,0.166s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 14:58:11,2018-07-18 14:58:11,0.076s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 14:58:11,2018-07-18 14:58:12,0.358s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 14:58:12,2018-07-18 14:58:12,0.068s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:58:12,2018-07-18 14:58:12,0.146s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 14:58:12,2018-07-18 14:58:12,0.080s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-18 14:58:12,2018-07-18 14:58:12,0.084s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 14:58:12,2018-07-18 14:58:17,5.002s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 14:58:17,2018-07-18 14:58:17,0.104s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:58:17,2018-07-18 14:58:17,0.157s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.62,,2018-07-18 14:58:17,2018-07-18 14:58:23,5.464s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-18 14:58:23,2018-07-18 14:58:24,0.761s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforChanMSP,Chrome 67.0.3396.62,Verify if Category MS&P is authorised to do Increase allocation \n Increase allocation should only be readable for Category MS&P,2018-07-18 14:58:24,2018-07-18 14:59:07,43.458s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 14:58:24,2018-07-18 14:58:51,27.320s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 14:58:51,2018-07-18 14:58:56,5.003s,PASSED
Statement - ChanMSP_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-18 14:58:56,2018-07-18 14:58:56,0.080s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:58:56,2018-07-18 14:58:57,0.188s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 14:58:57,2018-07-18 14:59:02,5.004s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 14:59:02,2018-07-18 14:59:02,0.086s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:59:02,2018-07-18 14:59:02,0.145s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 14:59:02,2018-07-18 14:59:02,0.036s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 14:59:02,2018-07-18 14:59:02,0.132s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 14:59:02,2018-07-18 14:59:07,5.003s,PASSED
Statement - ChanMSP_S_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_ChanMSP_SummaryScreen.Get_ChanMSPPendingTask_Count_Summaryscreen(),Chrome 67.0.3396.62,,2018-07-18 14:59:07,2018-07-18 14:59:07,0.093s,PASSED
