Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WorkBenchTestSuite,Chrome 67.0.3396.62,,2018-07-18 17:02:02,2018-07-18 17:07:45,5m - 42.028s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_CategoryMSPIncreaseAllocationQtyNotEditable,Chrome 67.0.3396.62,,2018-07-18 17:02:11,2018-07-18 17:03:04,52.978s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:02:11,2018-07-18 17:02:42,30.412s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:02:42,2018-07-18 17:02:47,5.529s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:02:47,2018-07-18 17:03:04,16.883s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_ChannelMSPOutsideChannelQtyUpdateNotAllowed,Chrome 67.0.3396.62,,2018-07-18 17:03:04,2018-07-18 17:03:46,42.196s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:03:04,2018-07-18 17:03:29,25.142s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:03:29,2018-07-18 17:03:33,4.011s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 17:03:33,2018-07-18 17:03:33,0.115s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:03:33,2018-07-18 17:03:34,0.170s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:34,0.081s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:34,0.350s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:34,0.065s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:34,0.160s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:34,0.075s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:34,0.078s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:03:34,2018-07-18 17:03:39,5.004s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:03:39,2018-07-18 17:03:40,0.148s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:03:40,2018-07-18 17:03:40,0.297s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.62,,2018-07-18 17:03:40,2018-07-18 17:03:45,5.541s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-18 17:03:45,2018-07-18 17:03:46,0.790s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforChanMSP,Chrome 67.0.3396.62,Verify if Category MS&P is authorised to do Increase allocation \n Increase allocation should only be readable for Category MS&P,2018-07-18 17:03:46,2018-07-18 17:04:34,48.212s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:03:46,2018-07-18 17:04:16,29.683s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:04:16,2018-07-18 17:04:21,5.002s,PASSED
Statement - ChanMSP_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-18 17:04:21,2018-07-18 17:04:21,0.145s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:04:21,2018-07-18 17:04:22,0.277s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:04:22,2018-07-18 17:04:27,5.002s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 17:04:27,2018-07-18 17:04:27,0.077s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:04:27,2018-07-18 17:04:27,0.265s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 17:04:27,2018-07-18 17:04:27,0.077s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:04:27,2018-07-18 17:04:27,0.213s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:04:27,2018-07-18 17:04:32,5.004s,PASSED
Statement - ChanMSP_S_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_ChanMSP_SummaryScreen.Get_ChanMSPPendingTask_Count_Summaryscreen(),Chrome 67.0.3396.62,,2018-07-18 17:04:32,2018-07-18 17:04:32,0.069s,PASSED
verifyEqual,Chrome 67.0.3396.62,,2018-07-18 17:04:32,2018-07-18 17:04:32,0.023s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:04:32,2018-07-18 17:04:34,2.116s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforMAL,Chrome 67.0.3396.62,To verify the count listed under workbench should match with the count in summary,2018-07-18 17:04:34,2018-07-18 17:05:17,42.982s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:04:35,2018-07-18 17:04:59,24.779s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:04:59,2018-07-18 17:05:04,5.002s,PASSED
Statement - MAL_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-18 17:05:04,2018-07-18 17:05:05,0.060s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:05:05,2018-07-18 17:05:05,0.309s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:05:05,2018-07-18 17:05:10,5.005s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 17:05:10,2018-07-18 17:05:10,0.080s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:05:10,2018-07-18 17:05:10,0.153s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-18 17:05:10,2018-07-18 17:05:10,0.046s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:05:10,2018-07-18 17:05:10,0.143s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-18 17:05:10,2018-07-18 17:05:15,5.002s,PASSED
