Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.62,,2018-07-18 15:02:26,2018-07-18 15:13:50,11m - 24.280s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/Login/Invalid_Login,Chrome 67.0.3396.62,,2018-07-18 15:02:30,2018-07-18 15:02:46,16.391s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 15:02:31,2018-07-18 15:02:44,12.359s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 15:02:44,2018-07-18 15:02:44,0.120s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 15:02:44,2018-07-18 15:02:44,0.157s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 15:02:44,2018-07-18 15:02:44,0.156s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-18 15:02:44,2018-07-18 15:02:44,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 15:02:44,2018-07-18 15:02:45,0.605s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-18 15:02:45,2018-07-18 15:02:45,0.002s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 15:02:45,2018-07-18 15:02:45,0.159s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 15:02:45,2018-07-18 15:02:45,0.114s,PASSED
Statement - AHeaderTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_HeaderTxt)),Chrome 67.0.3396.62,,2018-07-18 15:02:45,2018-07-18 15:02:45,0.609s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-18 15:02:45,2018-07-18 15:02:46,0.061s,PASSED
Statement - AContentTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_ContentTxt)),Chrome 67.0.3396.62,,2018-07-18 15:02:46,2018-07-18 15:02:46,0.069s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-18 15:02:46,2018-07-18 15:02:46,0.050s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 15:02:46,2018-07-18 15:02:46,0.078s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-18 15:02:46,2018-07-18 15:02:46,0.001s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 15:02:46,2018-07-18 15:02:46,0.094s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-18 15:02:46,2018-07-18 15:02:46,0.669s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/Login/Valid_Login,Chrome 67.0.3396.62,This Scenario logs into a user successfully and verifies the login,2018-07-18 15:02:46,2018-07-18 15:03:04,17.976s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 15:02:47,2018-07-18 15:03:02,15.427s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 15:03:02,2018-07-18 15:03:02,0.091s,PASSED
