Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SummaryTestSuite,Chrome 67.0.3396.62,,2018-07-13 14:55:55,2018-07-13 15:00:05,4m - 9.654s,FAILED
,,,,,,
Test Cases/SummaryTestCases/AlocSpoc_Comment,Chrome 67.0.3396.62,,2018-07-13 14:55:56,2018-07-13 14:56:36,39.686s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-13 14:55:56,2018-07-13 14:56:26,29.346s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 14:56:26,2018-07-13 14:56:26,0.076s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 14:56:26,2018-07-13 14:56:26,0.244s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 14:56:26,2018-07-13 14:56:26,0.060s,PASSED
verifyElementPresent,Chrome 67.0.3396.62,,2018-07-13 14:56:26,2018-07-13 14:56:26,0.156s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-13 14:56:26,2018-07-13 14:56:33,7.014s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 14:56:33,2018-07-13 14:56:33,0.135s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-13 14:56:33,2018-07-13 14:56:34,0.422s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 14:56:34,2018-07-13 14:56:34,0.218s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 14:56:34,2018-07-13 14:56:35,0.658s,PASSED
Statement - AddCommentToast = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Summary_Page/Comment_ToastHeader)),Chrome 67.0.3396.62,,2018-07-13 14:56:35,2018-07-13 14:56:35,0.110s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-13 14:56:35,2018-07-13 14:56:36,0.808s,PASSED
,,,,,,
Test Cases/SummaryTestCases/MAL_Comment,Chrome 67.0.3396.62,,2018-07-13 14:56:36,2018-07-13 14:57:08,32.820s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-13 14:56:36,2018-07-13 14:57:01,25.394s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-13 14:57:01,2018-07-13 14:57:06,5.003s,PASSED
