Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserHistoryTestSuite,Chrome 67.0.3396.62,,2018-08-08 12:28:26,2018-08-08 12:30:51,2m - 24.417s,PASSED
,,,,,,
Test Cases/UserHIstoryTestCases/Verify_display_of_HistoryPage,Chrome 67.0.3396.62,,2018-08-08 12:28:32,2018-08-08 12:29:33,1m - 1.535s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-08-08 12:28:32,2018-08-08 12:28:55,23.413s,PASSED
delay,Chrome 67.0.3396.62,,2018-08-08 12:28:55,2018-08-08 12:28:58,3.018s,PASSED
delay,Chrome 67.0.3396.62,,2018-08-08 12:28:58,2018-08-08 12:29:03,5.003s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-08-08 12:29:03,2018-08-08 12:29:04,0.201s,PASSED
click,Chrome 67.0.3396.62,,2018-08-08 12:29:04,2018-08-08 12:29:04,0.574s,PASSED
delay,Chrome 67.0.3396.62,,2018-08-08 12:29:04,2018-08-08 12:29:09,5.005s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-08-08 12:29:09,2018-08-08 12:29:09,0.161s,PASSED
click,Chrome 67.0.3396.62,,2018-08-08 12:29:09,2018-08-08 12:29:10,0.412s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-08-08 12:29:10,2018-08-08 12:29:10,0.077s,PASSED
click,Chrome 67.0.3396.62,,2018-08-08 12:29:10,2018-08-08 12:29:10,0.363s,PASSED
delay,Chrome 67.0.3396.62,,2018-08-08 12:29:10,2018-08-08 12:29:15,5.003s,PASSED
click,Chrome 67.0.3396.62,,2018-08-08 12:29:15,2018-08-08 12:29:16,0.391s,PASSED
delay,Chrome 67.0.3396.62,,2018-08-08 12:29:16,2018-08-08 12:29:26,10.003s,PASSED
Statement - rescue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_History_Page/History_RescueStrategy)),Chrome 67.0.3396.62,,2018-08-08 12:29:26,2018-08-08 12:29:26,0.294s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-08-08 12:29:26,2018-08-08 12:29:26,0.222s,PASSED
