Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WorkBenchTestSuite,Chrome 67.0.3396.62,,2018-07-16 13:21:48,2018-07-16 13:26:17,4m - 28.743s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_CategoryMSPIncreaseAllocationQtyNotEditable,Chrome 67.0.3396.62,,2018-07-16 13:21:48,2018-07-16 13:22:35,46.396s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:21:49,2018-07-16 13:22:12,23.856s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-16 13:22:13,2018-07-16 13:22:18,5.394s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:22:18,2018-07-16 13:22:35,16.761s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_ChannelMSPAuthorisedIncreaseAllocation,Chrome 67.0.3396.62,,2018-07-16 13:22:35,2018-07-16 13:22:59,23.956s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:22:35,2018-07-16 13:22:58,23.132s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-16 13:22:58,2018-07-16 13:22:58,0.053s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:22:58,2018-07-16 13:22:59,0.421s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforChanMSP,Chrome 67.0.3396.62,Verify if Category MS&P is authorised to do Increase allocation \n Increase allocation should only be readable for Category MS&P,2018-07-16 13:22:59,2018-07-16 13:23:36,37.329s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:22:59,2018-07-16 13:23:20,21.457s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:23:20,2018-07-16 13:23:25,5.008s,PASSED
Statement - ChanMSP_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-16 13:23:25,2018-07-16 13:23:25,0.061s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:23:25,2018-07-16 13:23:26,0.166s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:23:26,2018-07-16 13:23:31,5.002s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-16 13:23:31,2018-07-16 13:23:31,0.032s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:23:31,2018-07-16 13:23:31,0.108s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-16 13:23:31,2018-07-16 13:23:31,0.037s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:23:31,2018-07-16 13:23:31,0.101s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:23:31,2018-07-16 13:23:36,5.001s,PASSED
Statement - ChanMSP_S_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_ChanMSP_SummaryScreen.Get_ChanMSPPendingTask_Count_Summaryscreen(),Chrome 67.0.3396.62,,2018-07-16 13:23:36,2018-07-16 13:23:36,0.035s,PASSED
verifyEqual,Chrome 67.0.3396.62,,2018-07-16 13:23:36,2018-07-16 13:23:36,0.009s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforMAL,Chrome 67.0.3396.62,To verify the count listed under workbench should match with the count in summary,2018-07-16 13:23:36,2018-07-16 13:24:15,38.677s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:23:36,2018-07-16 13:23:57,20.810s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:23:57,2018-07-16 13:24:02,5.005s,PASSED
Statement - MAL_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-16 13:24:02,2018-07-16 13:24:02,0.057s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:24:02,2018-07-16 13:24:02,0.190s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:24:02,2018-07-16 13:24:07,5.001s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-16 13:24:07,2018-07-16 13:24:07,0.053s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:24:07,2018-07-16 13:24:07,0.127s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-16 13:24:07,2018-07-16 13:24:07,0.039s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:24:07,2018-07-16 13:24:08,0.121s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:24:08,2018-07-16 13:24:13,5.002s,PASSED
Statement - MAL_S_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_MALSummaryScreen.Get_MALPendingTask_Count_Summaryscreen(),Chrome 67.0.3396.62,,2018-07-16 13:24:13,2018-07-16 13:24:13,0.039s,PASSED
