Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.99,,2018-07-09 16:44:53,2018-07-09 16:52:45,7m - 52.110s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/Login/Invalid_Login,Chrome 67.0.3396.99,,2018-07-09 16:44:54,2018-07-09 16:45:24,30.344s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-09 16:44:56,2018-07-09 16:45:21,25.234s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-09 16:45:21,2018-07-09 16:45:21,0.215s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:45:21,2018-07-09 16:45:21,0.168s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:45:21,2018-07-09 16:45:22,0.192s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-09 16:45:22,2018-07-09 16:45:22,0.005s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-09 16:45:22,2018-07-09 16:45:22,0.123s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-09 16:45:22,2018-07-09 16:45:22,0.002s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:45:22,2018-07-09 16:45:22,0.105s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:45:22,2018-07-09 16:45:22,0.119s,PASSED
Statement - AHeaderTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_HeaderTxt)),Chrome 67.0.3396.99,,2018-07-09 16:45:22,2018-07-09 16:45:23,1.166s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-09 16:45:23,2018-07-09 16:45:23,0.134s,PASSED
Statement - AContentTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_ContentTxt)),Chrome 67.0.3396.99,,2018-07-09 16:45:23,2018-07-09 16:45:23,0.129s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-09 16:45:23,2018-07-09 16:45:23,0.048s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-09 16:45:23,2018-07-09 16:45:23,0.083s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-09 16:45:23,2018-07-09 16:45:23,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:45:23,2018-07-09 16:45:24,0.082s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-09 16:45:24,2018-07-09 16:45:24,0.915s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/Login/Valid_Login,Chrome 67.0.3396.99,This Scenario logs into a user successfully and verifies the login,2018-07-09 16:45:24,2018-07-09 16:45:38,13.336s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-09 16:45:25,2018-07-09 16:45:35,10.396s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-09 16:45:35,2018-07-09 16:45:35,0.056s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:45:35,2018-07-09 16:45:36,0.140s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:45:36,2018-07-09 16:45:36,0.116s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-09 16:45:36,2018-07-09 16:45:36,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-09 16:45:36,2018-07-09 16:45:36,0.575s,PASSED
Statement - assert true,Chrome 67.0.3396.99,,2018-07-09 16:45:36,2018-07-09 16:45:36,0.001s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:45:36,2018-07-09 16:45:36,0.129s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:45:36,2018-07-09 16:45:37,0.100s,PASSED
waitForAngularLoad,Chrome 67.0.3396.99,,2018-07-09 16:45:37,2018-07-09 16:45:37,0.026s,PASSED
Statement - greetingtext = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Landing_Page/Greeting_Label)),Chrome 67.0.3396.99,,2018-07-09 16:45:37,2018-07-09 16:45:37,0.619s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-09 16:45:37,2018-07-09 16:45:37,0.002s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-09 16:45:37,2018-07-09 16:45:38,0.623s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/CreateUser/Create_User_Validate,Chrome 67.0.3396.99,Create User and validate,2018-07-09 16:45:38,2018-07-09 16:46:18,40.304s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-09 16:45:38,2018-07-09 16:45:48,9.831s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-09 16:45:48,2018-07-09 16:45:48,0.033s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:45:48,2018-07-09 16:45:48,0.164s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:45:48,2018-07-09 16:45:48,0.137s,PASSED
