Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.62,,2018-07-18 17:07:47,2018-07-18 17:21:33,13m - 46.001s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/Login/Invalid_Login,Chrome 67.0.3396.62,,2018-07-18 17:07:51,2018-07-18 17:08:08,16.633s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:07:52,2018-07-18 17:08:06,13.656s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:06,0.139s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:06,0.209s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:06,0.185s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:06,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:06,0.113s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:06,0.001s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 17:08:06,2018-07-18 17:08:07,0.195s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:08:07,2018-07-18 17:08:07,0.144s,PASSED
Statement - AHeaderTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_HeaderTxt)),Chrome 67.0.3396.62,,2018-07-18 17:08:07,2018-07-18 17:08:07,0.806s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-18 17:08:07,2018-07-18 17:08:08,0.106s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/Login/Valid_Login,Chrome 67.0.3396.62,This Scenario logs into a user successfully and verifies the login,2018-07-18 17:08:08,2018-07-18 17:08:28,19.991s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-18 17:08:08,2018-07-18 17:08:24,15.895s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:08:24,2018-07-18 17:08:24,0.075s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-18 17:08:24,2018-07-18 17:08:24,0.330s,PASSED
click,Chrome 67.0.3396.62,,2018-07-18 17:08:24,2018-07-18 17:08:24,0.156s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-18 17:08:24,2018-07-18 17:08:24,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-18 17:08:24,2018-07-18 17:08:25,0.645s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-18 17:08:25,2018-07-18 17:08:25,0.001s,PASSED
