Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WorkBenchTestSuite,Chrome 67.0.3396.62,,2018-07-19 14:45:19,2018-07-19 14:50:58,5m - 38.806s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_CategoryMSPIncreaseAllocationQtyNotEditable,Chrome 67.0.3396.62,,2018-07-19 14:45:27,2018-07-19 14:46:20,52.841s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:45:27,2018-07-19 14:45:58,30.488s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:45:58,2018-07-19 14:46:03,5.442s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:46:03,2018-07-19 14:46:20,16.708s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Validate_ChannelMSPOutsideChannelQtyUpdateNotAllowed,Chrome 67.0.3396.62,,2018-07-19 14:46:20,2018-07-19 14:47:03,42.635s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:46:20,2018-07-19 14:46:46,25.526s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:46:46,2018-07-19 14:46:50,4.014s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-19 14:46:50,2018-07-19 14:46:50,0.107s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:46:50,2018-07-19 14:46:50,0.197s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:46:50,2018-07-19 14:46:50,0.074s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:46:50,2018-07-19 14:46:51,0.369s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:46:51,2018-07-19 14:46:51,0.062s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:46:51,2018-07-19 14:46:51,0.165s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:46:51,2018-07-19 14:46:51,0.090s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-19 14:46:51,2018-07-19 14:46:51,0.158s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:46:51,2018-07-19 14:46:56,5.003s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:46:56,2018-07-19 14:46:56,0.149s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:46:56,2018-07-19 14:46:56,0.207s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.62,,2018-07-19 14:46:56,2018-07-19 14:47:02,5.438s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-19 14:47:02,2018-07-19 14:47:03,0.832s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforChanMSP,Chrome 67.0.3396.62,Verify if Category MS&P is authorised to do Increase allocation \n Increase allocation should only be readable for Category MS&P,2018-07-19 14:47:03,2018-07-19 14:47:48,45.212s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:47:03,2018-07-19 14:47:30,26.568s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:47:30,2018-07-19 14:47:35,5.003s,PASSED
Statement - ChanMSP_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-19 14:47:35,2018-07-19 14:47:35,0.093s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:47:35,2018-07-19 14:47:35,0.206s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:47:35,2018-07-19 14:47:40,5.003s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-19 14:47:40,2018-07-19 14:47:40,0.113s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:47:40,2018-07-19 14:47:40,0.200s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-19 14:47:40,2018-07-19 14:47:40,0.039s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:47:40,2018-07-19 14:47:40,0.176s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:47:40,2018-07-19 14:47:45,5.002s,PASSED
Statement - ChanMSP_S_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_ChanMSP_SummaryScreen.Get_ChanMSPPendingTask_Count_Summaryscreen(),Chrome 67.0.3396.62,,2018-07-19 14:47:45,2018-07-19 14:47:46,0.088s,PASSED
verifyEqual,Chrome 67.0.3396.62,,2018-07-19 14:47:46,2018-07-19 14:47:46,0.007s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:47:46,2018-07-19 14:47:48,2.324s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforMAL,Chrome 67.0.3396.62,To verify the count listed under workbench should match with the count in summary,2018-07-19 14:47:48,2018-07-19 14:48:35,47.214s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:47:48,2018-07-19 14:48:17,29.061s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:48:17,2018-07-19 14:48:22,5.001s,PASSED
Statement - MAL_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.62,,2018-07-19 14:48:22,2018-07-19 14:48:22,0.053s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:48:22,2018-07-19 14:48:22,0.252s,PASSED
