Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SummaryTestSuite,Chrome 67.0.3396.62,,2018-07-13 15:47:59,2018-07-13 15:52:51,4m - 51.923s,FAILED
,,,,,,
Test Cases/SummaryTestCases/AlocSpoc_Comment,Chrome 67.0.3396.62,,2018-07-13 15:48:00,2018-07-13 15:48:44,44.622s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-13 15:48:00,2018-07-13 15:48:34,34.341s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:48:34,2018-07-13 15:48:35,0.112s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:48:35,2018-07-13 15:48:35,0.224s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:48:35,2018-07-13 15:48:35,0.062s,PASSED
verifyElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:48:35,2018-07-13 15:48:35,0.073s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-13 15:48:35,2018-07-13 15:48:42,7.007s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:48:42,2018-07-13 15:48:42,0.125s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-13 15:48:42,2018-07-13 15:48:42,0.442s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:48:42,2018-07-13 15:48:43,0.223s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:48:43,2018-07-13 15:48:43,0.616s,PASSED
Statement - AddCommentToast = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Summary_Page/Comment_ToastHeader)),Chrome 67.0.3396.62,,2018-07-13 15:48:43,2018-07-13 15:48:43,0.121s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-13 15:48:43,2018-07-13 15:48:44,0.812s,PASSED
,,,,,,
Test Cases/SummaryTestCases/MAL_Comment,Chrome 67.0.3396.62,,2018-07-13 15:48:44,2018-07-13 15:49:17,33.022s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-13 15:48:45,2018-07-13 15:49:10,25.460s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-13 15:49:10,2018-07-13 15:49:15,5.004s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:49:15,2018-07-13 15:49:15,0.133s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:49:15,2018-07-13 15:49:15,0.266s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:49:15,2018-07-13 15:49:16,0.602s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:49:16,2018-07-13 15:49:16,0.264s,PASSED
verifyElementNotPresent,Chrome 67.0.3396.62,,2018-07-13 15:49:16,2018-07-13 15:49:16,0.204s,PASSED
