Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.62,,2018-07-19 14:10:37,2018-07-19 14:22:53,12m - 16.553s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/Login/Invalid_Login,Chrome 67.0.3396.62,,2018-07-19 14:10:41,2018-07-19 14:11:02,21.101s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:10:42,2018-07-19 14:10:59,16.955s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:10:59,2018-07-19 14:10:59,0.117s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:10:59,2018-07-19 14:10:59,0.154s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:10:59,2018-07-19 14:10:59,0.172s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-19 14:10:59,2018-07-19 14:10:59,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:10:59,2018-07-19 14:11:00,0.621s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-19 14:11:00,2018-07-19 14:11:00,0.003s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:11:00,2018-07-19 14:11:00,0.169s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:00,2018-07-19 14:11:00,0.120s,PASSED
Statement - AHeaderTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_HeaderTxt)),Chrome 67.0.3396.62,,2018-07-19 14:11:00,2018-07-19 14:11:01,0.600s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:01,0.110s,PASSED
Statement - AContentTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Login_Page/InvalidLogin_ContentTxt)),Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:01,0.084s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:01,0.063s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:01,0.052s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:01,0.000s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:01,0.109s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-19 14:11:01,2018-07-19 14:11:02,0.685s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/Login/Valid_Login,Chrome 67.0.3396.62,This Scenario logs into a user successfully and verifies the login,2018-07-19 14:11:02,2018-07-19 14:11:15,13.354s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:11:02,2018-07-19 14:11:13,10.294s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:11:13,2018-07-19 14:11:13,0.091s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:11:13,2018-07-19 14:11:13,0.257s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:13,2018-07-19 14:11:13,0.134s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-19 14:11:13,2018-07-19 14:11:13,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:11:13,2018-07-19 14:11:14,0.612s,PASSED
Statement - assert true,Chrome 67.0.3396.62,,2018-07-19 14:11:14,2018-07-19 14:11:14,0.003s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:11:14,2018-07-19 14:11:14,0.210s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:14,2018-07-19 14:11:14,0.119s,PASSED
waitForAngularLoad,Chrome 67.0.3396.62,,2018-07-19 14:11:14,2018-07-19 14:11:14,0.037s,PASSED
Statement - greetingtext = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Landing_Page/Greeting_Label)),Chrome 67.0.3396.62,,2018-07-19 14:11:14,2018-07-19 14:11:15,0.592s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-19 14:11:15,2018-07-19 14:11:15,0.002s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-19 14:11:15,2018-07-19 14:11:15,0.670s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/CreateUser/Create_User_Validate,Chrome 67.0.3396.62,Create User and validate,2018-07-19 14:11:15,2018-07-19 14:11:54,38.704s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-19 14:11:16,2018-07-19 14:11:27,11.520s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:11:27,2018-07-19 14:11:27,0.074s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:11:27,2018-07-19 14:11:28,0.237s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:28,2018-07-19 14:11:28,0.132s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-19 14:11:28,2018-07-19 14:11:28,0.604s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-19 14:11:28,2018-07-19 14:11:29,0.256s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:29,2018-07-19 14:11:29,0.134s,PASSED
waitForPageLoad,Chrome 67.0.3396.62,,2018-07-19 14:11:29,2018-07-19 14:11:29,0.054s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:11:29,2018-07-19 14:11:34,5.012s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-19 14:11:34,2018-07-19 14:11:34,0.080s,PASSED
click,Chrome 67.0.3396.62,,2018-07-19 14:11:34,2018-07-19 14:11:34,0.341s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-19 14:11:34,2018-07-19 14:11:37,3.003s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-19 14:11:37,2018-07-19 14:11:37,0.062s,PASSED
Statement - If (true),Chrome 67.0.3396.62,,2018-07-19 14:11:37,2018-07-19 14:11:37,0.000s,PASSED
