Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.62,,2018-07-16 13:33:29,2018-07-16 13:35:14,1m - 44.882s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/UserActions/LockUser,Chrome 67.0.3396.62,This scenarios locks a user account by trying to log in into a valid account with invalid password for 5 attempts,2018-07-16 13:33:30,2018-07-16 13:34:51,1m - 21.158s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:33:30,2018-07-16 13:33:47,16.246s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:33:47,2018-07-16 13:33:59,12.976s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:33:59,2018-07-16 13:34:12,12.114s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:34:12,2018-07-16 13:34:23,11.639s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:34:23,2018-07-16 13:34:35,11.385s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:34:35,2018-07-16 13:34:51,16.335s,PASSED
,,,,,,
Test Cases/UserManagementTestCases/UserActions/Unlock_User,Chrome 67.0.3396.62,This Scenario logs into the Super admin and unlocks a particular user which is locked and verifies popup message and also toast message.,2018-07-16 13:34:51,2018-07-16 13:35:14,23.058s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-16 13:34:51,2018-07-16 13:35:01,9.640s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-16 13:35:01,2018-07-16 13:35:01,0.092s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-16 13:35:01,2018-07-16 13:35:01,0.278s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:35:01,2018-07-16 13:35:02,0.151s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-16 13:35:02,2018-07-16 13:35:02,0.627s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-16 13:35:02,2018-07-16 13:35:02,0.239s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:35:02,2018-07-16 13:35:03,0.138s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:35:03,2018-07-16 13:35:08,5.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-16 13:35:08,2018-07-16 13:35:08,0.079s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:35:08,2018-07-16 13:35:08,0.168s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-16 13:35:08,2018-07-16 13:35:08,0.168s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-16 13:35:08,2018-07-16 13:35:11,3.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-16 13:35:11,2018-07-16 13:35:11,0.059s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:35:11,2018-07-16 13:35:11,0.202s,PASSED
waitForElementVisible,Chrome 67.0.3396.62,,2018-07-16 13:35:11,2018-07-16 13:35:12,0.602s,PASSED
Statement - AHeaderTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Landing_Page/UnlockUserPopup_HeaderTxt)),Chrome 67.0.3396.62,,2018-07-16 13:35:12,2018-07-16 13:35:12,0.056s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-16 13:35:12,2018-07-16 13:35:12,0.032s,PASSED
Statement - AContentTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Landing_Page/UnlockUserPopup_ContentTxt)),Chrome 67.0.3396.62,,2018-07-16 13:35:12,2018-07-16 13:35:12,0.065s,PASSED
click,Chrome 67.0.3396.62,,2018-07-16 13:35:12,2018-07-16 13:35:12,0.162s,PASSED
Statement - UnlockToastMsg = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Landing_Page/Unlock_ToastMsg)),Chrome 67.0.3396.62,,2018-07-16 13:35:12,2018-07-16 13:35:13,1.099s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-16 13:35:13,2018-07-16 13:35:13,0.027s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-16 13:35:13,2018-07-16 13:35:14,0.824s,PASSED
